ground,sentence,before,vehicle,after,title,author
comfortable,“You look as comfortable as a kitten huddled in a pile of pit bulls.”,“You look,a kitten huddled in a pile of pit bulls,.”,Stone Cold Touch,Jennifer L. Armentrout
comfortable,"I stared at Edge, who looked as comfortable as a lion tamer without a whip.","I stared at Edge, who looked",a lion tamer without a whip,.,I For You,Orizuka
comfortable,She looked as comfortable as a white mouse in a pit of vipers.,She looked,a white mouse in a pit of vipers,.,The Torment Of Others,Val Mcdermid
comfortable,So how did Bea notice that Roxie was about as comfortable as a nun at a Chippendales show?,So how did Bea notice that Roxie was about,a nun at a Chippendales show,?,The Girl Most Likely To...,Susan Donovan
comfortable,You look as comfortable as a nun at a masturbation party but you’ll pass.,You look,a nun at a masturbation party,but you’ll pass.,New Moon,Ian McDonald
comfortable,...because seeing her like that made me about as comfortable as a snail crossing salt flats.,...because seeing her like that made me about,a snail crossing salt flats,.,One Rough Man,Brad Taylor
comfortable,"It made me feel about as comfortable as a trout on a marble slab, and for no reason that I could think of, I felt something like shame.",It made me feel about,a trout on a marble slab,", and for no reason that I could think of, I felt something like shame.",March Violets,Philip Kerr
comfortable,The chairs looked sturdy and practical and about as comfortable as a tweed thong.,The chairs looked sturdy and practical and about,a tweed thong,.,Live Wire,Harlan Coben
delicate,“...You are as delicate as a momma bear discovering someone beating her baby cubs with a bat.”,“...You are,a momma bear discovering someone beating her baby cubs with a bat,.”,Clipped by Love,Toni Aleo
easy,"You know small towns, folks around here get one thing in their mind and changing it is about as easy as chewing glass.","You know small towns, folks around here get one thing in their mind and changing it is about",chewing glass,.,Don't Mess with Texas,Christie Craig
easy,“It’s really unnerving; looking you in the eye is getting about as easy as liposuction minus the anesthesia.”,“It’s really unnerving; looking you in the eye is getting about,liposuction minus the anesthesia,.”,The Accidental Human,Dakota Cassidy
easy,"The granola bar he’d handed her had gone down about as easy as a handful of woodchips dipped in habanero sauce, but she’d managed, by God.",The granola bar he’d handed her had gone down about,a handful of woodchips dipped in habanero sauce,", but she’d managed, by God.",Thrill Ride,Julie Ann Walker
effective,"I struggled, as effective as an ant stopping a shoe from squishing it.","I struggled,",an ant stopping a shoe from squishing it,.,United Eden,Nicole Williams
effective,"But as far as warding off real djinn is concerned, they’re about as effective as a chocolate toothbrush.","But as far as warding off real djinn is concerned, they’re about",a chocolate toothbrush,.,The Ring of Solomon,Jonathan Stroud
effective,It would be a death blow to the Anti-Divisional Resistance—which has become as effective as a flyswatter against a dragon.,It would be a death blow to the Anti-Divisional Resistance—which has become,a flyswatter against a dragon,.,UnSouled,Neal Shusterman
effective,Their efforts were about as effective as Mother Hubbard’s pet care.,Their efforts were about,Mother Hubbard’s pet care,.,Skinny Legs and All,Tom Robbins
effective,"To my wine-buzzed, lust-clouded brain, his warning to stay away was about as effective as one of those “enter only if you’re eighteen” notices on a porn site.","To my wine-buzzed, lust-clouded brain, his warning to stay away was about",one of those “enter only if you’re eighteen” notices on a porn site,.,The Room Mate,Kendall Ryan
effective,“That’s about as effective as homegrown terrorists who anthrax the post office because they don’t want to pay their taxes.”,“That’s about,homegrown terrorists who anthrax the post office because they don’t want to pay their taxes,.”,Impulse,Dannika Dark
exciting,"“And intelligence gathering,” he told her dryly, “is about as exciting as two-hour-old cereal in milk.”","“And intelligence gathering,” he told her dryly, “is aout",two-hour-old cereal in milk,.”,Mercenary's Woman,Diana Palmer
exciting,"Man, I was about as exciting as a game of golf.","Man, I was about",a game of golf,.,Oblivion,Jennifer L. Armentrout
exciting,“I’m sure that hasn’t changed and he’s still about as exciting as a kiddie roller coaster.”,“I’m sure that hasn’t changed and he’s still about,a kiddie roller coaster,.”,Down and Dirty,Christine Bell
exciting,"Without the password, the sexual center of the brain would not be activated, and sex would be about as exciting as long division.","Without the password, the sexual center of the brain would not be activated, and sex would be about",long division,.,Steel Beach,John Varley
exciting,She was as exciting as a reference-room librarian.,She was,a reference-room librarian,.,Silver Girl,Elin Hilderbrand
exciting,"Compared to the hunting footage, the final video was about as exciting as a television test pattern.","Compared to the hunting footage, the final video was about",a television test pattern,.,The Bone Tree,Greg Iles
fast,He was as fast as a clam at low tide.,He was,a clam at low tide,.,Little Jack Rabbit's big blue book,David Cory
fast,"“Susan said, Crank faster.” “I’m cranking as fast as a European socialist would crank.”","“Susan said, Crank faster.” “I’m cranking",a European socialist would crank,.”,Up Country,Nelson DeMille
fast,“I believe you and Molly will make a good fit. She’s about as fast as molasses running uphill in the winter.”,“I believe you and Molly will make a good fit. She’s about,molasses running uphill in the winter,.”,Spellbound Falls,Janet Chapman
fast,"I’d been antsy with anticipation and excitement all day, every minute passing as fast as a two-legged turtle climbing up a hill...against the wind.","I’d been antsy with anticipation and excitement all day, every minute passing",a two-legged turtle climbing up a hill,...against the wind.,After The Ending,Lindsey Pogue
friendly,"Tate rustled up a grin for his daughter, but his swift glance at Garrett was about as friendly as a splash of battery acid.","Tate rustled up a grin for his daughter, but his swift glance at Garrett was about",a splash of battery acid,.,Tate,Linda Lael Miller
friendly,Their handshake was about as friendly as a pair of boxers squaring off before a fight.,Their handshake was about,a pair of boxers squaring off before a fight,.,Undercover Bromance,Lyssa Kay Adams
friendly,Her tone was as friendly as a bucket full of shit.,Her tone was,a bucket full of shit,.,Poor Little Bitch Girl,Jackie Collins
friendly,You were about as friendly as a cucumber.,You were about,a cucumber,.,Tommaso,Mimi Jean Pamfiloff
friendly,A supervised midwife is as friendly as a hangnail.,A supervised midwife is,a hangnail,.,Journey to the End of the Night,Louis-Ferdinand Celine
friendly,"...irritation with Malone, because he’s about as friendly as a hungover troll.","...irritation with Malone, because he’s about",a hungover troll,.,Catch of the Day,Kristan Higgins
friendly,"And isn’t that exactly what you needed today, on a day that has already been as friendly as a paper cut?","And isn’t that exactly what you needed today, on a day that has already been",a paper cut,?,Troublemakers,Harlan Ellison
friendly,"One was small and ferrety, the other looked about as friendly as a peregrine falcon who’s just spotted breakfast.","One was small and ferrety, the other looked about",a peregrine falcon who’s just spotted breakfast,.,Hostage to Murder,Val McDermid
funny,"“You’re as funny as crotch rot,” Liz told him.",“You’re,"crotch rot,” Liz told him",.,Funland,Richard Laymon
funny,You’re about as funny as a guided tour through Dachau.,You’re about,a guided tour through Dachau,.,The Essential Ellison,Harlan Ellison
funny,"You’re about as funny as a maggot sandwich, Charlie, and patience isn’t my favourite card game.",You’re about,"a maggot sandwich, Charlie",", and patience isn’t my favourite card game.",Hide and Seek,Ian Rankin
funny,...your name’s about as funny as the second season of George & Mildred.,...your name’s about,the second season of George & Mildred,.,Snow White & the Seven Samurai,Tom Holt
graceful,The issue was that I was about as graceful as a buffalo mid–accidental cliff dive.,The issue was that I was about,a buffalo mid–accidental cliff dive,.,Life and Other Near-Death Experiences,Camille Pagan
graceful,“It didn’t help. Monsieur Armonde said I was as graceful as a cow in slippers.”,“It didn’t help. Monsieur Armonde said I was,a cow in slippers,.”,The Abduction of Julia,Karen Hawkins
graceful,"“When I first arrived at the palace, I was as graceful as a duck drunk on plum wine, heavens help me.”","“When I first arrived at the palace, I was","a duck drunk on plum wine, heavens help me",.”,Girls of Paper and Fire,Natasha Ngan
graceful,Kasabian shooting pool is as graceful as a lobster playing soccer.,Kasabian shooting pool is,a lobster playing soccer,.,Aloha from Hell,Richard Kadrey
happy,"When he does, he’ll be about as happy as a boar with ticks on its balls.","When he does, he’ll be about",a boar with ticks on its balls,.,Maggody and the Moonbeams,Joan Hess
happy,"“Look, Spock, any other time I’d be as happy as a catfish at a rodeo to take you on in a war of words. And I’d win, just like I always do.”","“Look, Spock, any other time I’d be",a catfish at a rodeo to take you on in a war of words,". And I’d win, just like I always do.”",Preserver,
happy,"He looks about as happy as a dad at a Taylor Swift concert, but at least he’s in control of his rage.",He looks about,a dad at a Taylor Swift concert,", but at least he’s in control of his rage.",One Good Reason,Julie Johnson
happy,"“Scotty, you look as happy as a Klingon with a fribble in his pants.”","“Scotty, you look",a Klingon with a fribble in his pants,.”,The Ashes of Eden,
happy,"As usual, I’ve chosen to be fashionably late — which will make Lila about as happy as a middle-school girl with braces on picture day...","As usual, I’ve chosen to be fashionably late — which will make Lila about",a middle-school girl with braces on picture day,...,Cross the Line,Julie Johnson
happy,"In the car, SlingBlade looked about as happy as a Mormon getting a lap dance.","In the car, SlingBlade looked about",a Mormon getting a lap dance,.,I Hope They Serve Beer in Hell,Tucker Max
harmless,“ She’s about as harmless as a cyanide sandwich.”,“ She’s about,a cyanide sandwich,.”,Faithful Place,Tana French
important,“Your opinion is about as important as a beetle peeing in a rat hole.”,“Your opinion is about,a beetle peeing in a rat hole,.”,Before the Larkspur Blooms,Caroline Fyffe
important,Such a possibility made Chernobyl seem as important as a fart in a phone-booth.,Such a possibility made Chernobyl seem,a fart in a phone-booth,.,The Tommyknockers,Stephen King
important,"...the sadistic ritual known as “the wedding plans,” where, guys, quite frankly, your opinion is about as important as the foreword in a Jackie Collins novel.","...the sadistic ritual known as “the wedding plans,” where, guys, quite frankly, your opinion is about",the foreword in a Jackie Collins novel,.,The Rants,Dennis Miller
innocent,Chantale looked as innocent as the Boston Strangler.,Chantale looked,the Boston Strangler,.,Grave Secrets,Kathy Reichs
innocent,"...but he was still there, lurking at a nearby storefront, looking about as innocent as an only child near a fresh Kool-Aid stain.","...but he was still there, lurking at a nearby storefront, looking about",an only child near a fresh Kool-Aid stain,.,Jim Butcher,Ghost Story
interesting,Bailic was as interesting as an argument on the proper weather in which to plant beets.,Bailic was,an argument on the proper weather in which to plant beets,.,Hidden Truth,Dawn Cook
interesting,Maybe you think the whole “Who Am I?” identity question is about as interesting as a biology assignment on the mating habits of blue-tongued lizards.,Maybe you think the whole “Who Am I?” identity question is about,a biology assignment on the mating habits of blue-tongued lizards,.,Ten Things I Hate About Me,Randa Abdel-Fattah
interesting,The tour turned out to be about as interesting as a limited warranty statement.,The tour turned out to be about,a limited warranty statement,.,Crisscross,F. Paul Wilson
interesting,"Scrolled through quickly, his life seemed to have been about as interesting as a race down a window-pane by two docile flies.","Scrolled through quickly, his life seemed to have been about",a race down a window-pane by two docile flies,.,Snow White & the Seven Samurai,Tom Holt
pleasant,"It’s all so dazzling and I know I should be enjoying myself, but the whole experience is proving as pleasant as colonic irrigation during an A-level maths exam.","It’s all so dazzling and I know I should be enjoying myself, but the whole experience is proving",colonic irrigation during an A-level maths exam,.,The Nearly-Weds,Jane Costello
pleasant,"His voice is gravelly, yet behind it the voice warbles and wavers from lowpitch to high-pitch, as pleasant as the tines of a fork dragged across a piece of slate.","His voice is gravelly, yet behind it the voice warbles and wavers from lowpitch to high-pitch,",the tines of a fork dragged across a piece of slate,.,Mockingbird,Chuck Wendig
pleasant,"As always, he was dressed carefully, looked wrinkled as an old apple, and had a demeanor as pleasant as a night of diarrhea.","As always, he was dressed carefully, looked wrinkled as an old apple, and had a demeanor",a night of diarrhea,.,The Broken Eye,Brent Weeks
pleasant,"All the rest of the time, being around him is about as pleasant as someone sanding me like a two-by-four.","All the rest of the time, being around him is about",someone sanding me like a two-by-four,.,Shadow Man,Cody McFadyen
pretty,"Which was about what we expected to see, and as pretty as a barge loaded with dead babies.","Which was about what we expected to see, and",a barge loaded with dead babies,.,Stars' End,Glen Cook
pretty,My professor twin makes me feel as pretty as a wad of spit-out chewing gum.,My professor twin makes me feel,a wad of spit-out chewing gum,.,Control,Lydia Kang
reliable,"...from what she remembered, reassurance from Mulch Diggums was about as reliable as a cocktail from the Pittsburgh Poisoner.","...from what she remembered, reassurance from Mulch Diggums was about",a cocktail from the Pittsburgh Poisoner,.,Artemis Fowl: The Atlantis Complex,Disney Hyperion
reliable,...the perfect way to turn a cloak into something as reliable as a marshmallow condom.,...the perfect way to turn a cloak into something,a marshmallow condom,.,Aloha from Hell,Richard Kadrey
romantic,"It’s only a peck and looks about as romantic as a bowl of cold oatmeal, but I’ve never seen James kiss anyone.",It’s only a peck and looks about,a bowl of cold oatmeal,", but I’ve never seen James kiss anyone.",Flawed,Kate Avelynn
romantic,"...even I, who was definitely not an expert on quasi-proposals, could say that it had been about as romantic as a bucket of vomit.","...even I, who was definitely not an expert on quasi-proposals, could say that it had been about",a bucket of vomit,.,Storm and Silence,Robert Thier
romantic,"triggered by those two, but could activate only in season-what must be termed “sex” in a Martian is as romantic as intravenous feeding.","triggered by those two, but could activate only in season-what must be termed “sex” in a Martian is",intravenous feeding,.,Stranger in a Strange Land,Robert Anson Heinlein
romantic,It had been as romantic as a pap smear or a home breast exam.,It had been,a pap smear or a home breast exam,.,The Ice Storm,Rick Moody
romantic,The Newark train station is about as romantic as a pile of hippo dung with head lice.,The Newark train station is about,a pile of hippo dung with head lice,.,No Second Chance,Harlan Coben
safe,My porch feels about as safe as a chocolate donut on an anthill.,My porch feels about,a chocolate donut on an anthill,.,Robopocalypse,Daniel H. Wilson
sexy,"Yet I stood there, clutching my towel, looking as sexy as a headlight-stunned deer.","Yet I stood there, clutching my towel, looking",a headlight-stunned deer,.,Made to Be Broken,Kelley Armstrong
sexy,That’s about as sexy as earwax.,That’s about,earwax,.,Second Helpings,Megan McCafferty
sexy,He clearly found her about as sexy as a pair of fuzzy dice.,He clearly found her about,a pair of fuzzy dice,.,Sugar and Spice,Fern Michaels
sexy,"On my skin, everything felt about as sexy as those plastic zip-up bags duvet sets come in, but I knew I looked hot.","On my skin, everything felt about",those plastic zip-up bags duvet sets come in,", but I knew I looked hot.",Starlight,Mimi Strong
sexy,The man she loved found her as sexy as a vacuum that picked up dog hair.,The man she loved found her,a vacuum that picked up dog hair,.,Dead Heat,Kathleen Brooks
soft,"“I’m Clarice,” my therapist tells me, in a voice as soft as a Tibetan gong.","“I’m Clarice,” my therapist tells me, in a voice",a Tibetan gong,.,Small Great Things,Jodi Picoult
strong,“My old sword tutor said my wrists were as strong as damp lettuce.”,“My old sword tutor said my wrists were,damp lettuce,.”,Knights of Dark Renown,David Gemmell
strong,Her heart goes as strong as a ninety-eight-cent watch.,Her heart goes,a ninety-eight-cent watch,.,Strictly Business: More Stories of the Four Million,O. Henry
subtle,"It was clarity I’d found, as subtle as a bucket of ice water down my back.","It was clarity I’d found,",a bucket of ice water down my back,.,With a Twist,Staci Hart
subtle,"The Cheney murmur, as subtle as a donkey burp.","The Cheney murmur,",a donkey burp,.,Authority,Jeff VanderMeer
subtle,"...the movie was darker and edgier than the television series, with an antireligious agenda about as subtle as a mankini.","...the movie was darker and edgier than the television series, with an antireligious agenda about",a mankini,.,Miles to Go,Richard Paul Evans
sweet,A drunken giggle as sweet as a fart in a wet swimsuit sounded in my right ear.,A drunken giggle,a fart in a wet swimsuit sounded in my right ear,.,Dear Daughter,Elizabeth Little
useful,"“Nice in a bodyguard,” lectured the marquis, “is about as useful as the ability to regurgitate whole lobsters.”","“Nice in a bodyguard,” lectured the marquis, “is about",the ability to regurgitate whole lobsters,.”,Neverwhere,Neil Gaiman
useful,"From everything I’d read, the embargoes had proved about as useful as an ashtray on a motorbike.","From everything I’d read, the embargoes had proved about",an ashtray on a motorbike,.,Exit Wound,Andy McNab
useful,"“I’m as useful as balls on a priest with this arm, Sid.”",“I’m,"balls on a priest with this arm, Sid",.”,Darkdawn,Jay Kristoff
useful,"“As a shipping terminus, I find it about as useful as a second belly button on my forehead.”","“As a shipping terminus, I find it about",a second belly button on my forehead,.”,Flood Tide,Clive Cussler
useful,"But my tongue is mossy from the tranquilizers, and my brain feels about as useful as a clump of masking tape.","But my tongue is mossy from the tranquilizers, and my brain feels about",a clump of masking tape,.,Good Grief,Lolly Winston
useful,All I’ve got is a crossed cheque that’s as useful as confetti at a funeral.,All I’ve got is a crossed cheque that’s,confetti at a funeral,.,Diana of Kara-Kara,Edgar Wallace
useful,“You’re about as useful as a limp dick.”,“You’re about,a limp dick,.”,Dark Horse,Tami Hoag
useful,"“You’re about as useful as a Mason jar full of toenail clippings,” Uncle Alva said.",“You’re about,"a Mason jar full of toenail clippings,” Uncle Alva said",.,The Reckless Oath We Made,Bryn Greenwood
useful,"...unless you know the freqs they’re transmitting on, it’s as useful as a master’s degree in philosophy Hanna...","...unless you know the freqs they’re transmitting on, it’s",a master’s degree in philosophy Hanna,...,Gemina,Amie Kaufman
useful,His officer was about as useful as a plastic Jesus on the dashboard.,His officer was about,a plastic Jesus on the dashboard,.,A Season For Slaughter,David Gerrold
welcome,"Willie smiled happily, obviously unaware his offering was as welcome as the Bud light truck at a Baptist church social.","Willie smiled happily, obviously unaware his offering was",the Bud light truck at a Baptist church social,.,Death On Demand,Carolyn G. Hart
welcome,But to Bree it was as welcome as a cat proudly leaving a beheaded mouse oozing blood on your doorstep.,But to Bree it was,a cat proudly leaving a beheaded mouse oozing blood on your doorstep,.,What's a Girl Gotta Do?,Holly Bourne
welcome,"We’ve gathered for our command family dinner, and while my mother is a fine cook, I feel as welcome as a cockroach in a salad.","We’ve gathered for our command family dinner, and while my mother is a fine cook, I feel",a cockroach in a salad,.,Catch of the Day,Kristan Higgins
welcome,"After that, we’re as welcome as encyclopedia salesmen.","After that, we’re",encyclopedia salesmen,.,Industrial Magic,Kelley Armstrong
welcome,The smile told Rebus he was as welcome as haemorrhoids at a rodeo.,The smile told Rebus he was,haemorrhoids at a rodeo,.,Mortal Causes,Ian Rankin
welcome,...in that voice she used when humour was as welcome as the old boyfriend of the bride.,...in that voice she used when humour was,the old boyfriend of the bride,.,Acqua Alta,Donna Leon
welcome,“This crap is as welcome as a pile of severed dog cocks.”,“This crap is,a pile of severed dog cocks,.”,The Lies of Locke Lamora,Scott Lynch
welcome,“This baby will be as welcome as a pork chop in a synagogue.”,“This baby will be,a pork chop in a synagogue,.”,Dangerous Lady,Martina Cole
welcome,...he was made to feel by the consular officials as welcome as a registered sex offender seeking overnight lodging at a Girl Scout camp.,...he was made to feel by the consular officials,a registered sex offender seeking overnight lodging at a Girl Scout camp,.,Black Ops,W.E.B. Griffin
welcome,My suggestion was as welcome as a risotto of pig manure.,My suggestion was,a risotto of pig manure,.,TheAlchemist’sApprentice,Dave Duncan
welcome,"But on a cold day, in a drafty room, chilled cucumber soup is about as welcome as a swarm of wasps at a bat mitzvah.","But on a cold day, in a drafty room, chilled cucumber soup is about",a swarm of wasps at a bat mitzvah,.,The Wide Window,Lemony Snicket
